Date,AAPL,MSFT,GOOGL,NVDA,META,JNJ,PFE,UNH,JPM,BAC,V,KO,PG,MCD,AMZN,XOM,CVX,CAT,HON,T,VZ,TSM,BABA,NVO,SHEL,VALE,ITUB,AMX,FMX,SPY,EFA,EEM,AGG,GLD,XLE
2021-06-30,329423500,108242300,132064000,1788924000,92604400,31018200,91201200,28765700,70403600,192436500,41433200,67840700,48195900,12124400,290364000,96031500,43328300,27966700,17837425,206755839,73554100,40322900,74059400,6431200,20073329,129809700,251169895,7291500,1557100,257197800,102141000,119265700,32343700,36293200,224734600
2021-07-31,1919035100,522672700,610808000,7823077000,335420300,133724800,525510400,51586100,280571500,1060522600,157826600,293385300,152014300,53633300,1674586000,435901400,205695700,68075000,88463634,935588977,319104600,185969600,452580500,36951200,100484645,458317300,1050287920,50058000,7979700,1422104700,464219700,748211600,125908500,145195500,1200962600
2021-08-31,1461542800,441308900,461586000,6416386000,226132300,114788500,1008466500,47566300,208085700,997266200,148466700,220335000,125297500,45210000,1256964000,406363800,213430100,72473000,43092620,789806781,288191000,172912800,659062400,56302000,94683717,559164500,1026224245,48416500,7506500,1254001400,363675100,792588000,109572100,165504300,1115161400
2021-09-30,1797835100,502918700,590840000,4998986000,338121800,132028700,544666400,59612800,234791100,1022318600,175607200,334494700,148060100,55922700,1250554000,482908500,250488400,77956500,56031517,984413994,344288400,149550300,483785600,39668400,118708088,788008800,951094214,49038300,9196400,1745559600,570964000,823629600,105451600,160613200,1363043600
2021-10-31,1565079200,516515800,720758000,4971078000,588382500,136327000,471555700,60241500,231680800,917220900,170233200,331812000,137102900,57991500,1273466000,435214600,211811800,72026300,44561471,1339836364,450820300,154392400,472884900,34219600,145422354,684159900,890158823,39948600,8310900,1508665200,459407700,774051100,116295700,136138300,1388857800
2021-11-30,1691029000,509885200,608378000,10811170000,441125000,164263300,1010245500,61100800,203498400,895399100,303953900,286683400,138035400,51361500,1515990000,416061500,225299300,71055500,53372438,1278172519,396832400,186917400,434071600,37584400,99897504,863746600,973326311,43615500,12195800,1335351500,403700900,791628300,143895100,162163400,1198226800
2021-12-31,2444766700,625674800,619694000,11058505000,438246900,167972300,1064029400,64926200,251966400,1060922000,189052700,426786000,190122300,58776500,1287634000,433112300,221103300,57745000,78437925,1834795096,526221800,155307700,586918900,57472800,97655024,591398800,1073245129,41250000,9781900,1927433900,635069800,961311700,168251800,151214100,1204002800
2022-01-31,2108446000,947531400,767206000,10682164000,427237300,165534400,778212000,80739800,373950200,1225178700,224953600,407891700,195173500,64879700,1524654000,608287500,300811900,89950100,73152876,1828521981,500201100,358353400,490914900,73296600,109350161,724813500,1046332980,74769000,11119700,2485167800,782023400,977508900,177044400,211125100,1707678400
2022-02-28,1627516300,697050600,928126000,10644270000,1128039600,154615300,634804800,58656100,288730100,941748700,171774200,396000700,155799700,58076100,1689604000,628643600,282878000,67658500,82995242,1300035599,391665400,201631300,367386900,50862600,87679303,656829900,1062801584,55439200,9999200,2297975100,727530200,922703100,182615900,254601300,1529083000
2022-03-31,2180800100,734334200,729162000,11644599000,733274500,180106000,718106000,73714100,390796800,1312818500,189035000,426922600,170280000,92000500,1628486000,853500100,527470800,93122200,89960920,1210104223,627343700,338909100,1155393100,63493000,132636536,941324300,1264530763,78464000,11938300,2380929500,830485300,1608867700,263297700,377087100,2170681200
